VEND_ID,LGL_NM,VEND_CUST_CD
1329,COMVERGE INC,COM7148720
1330,Con10gency Consulting LLC,V00000955551
1331,CONCEPT DEVELOPMENT CORP,CON8301678
1332,Concept2 CTS Inc,V00000932115
1333,Concordance Healthcare Solutions LLC,V00000959433
1334,CONCOURSE COMMUNICATIONS GROUP LLC,VS0000008384
1335,Concrete Supply ltd,VS0000015844
1336,CONN APPLIANCES INC,VC0000101412
1337,Connect-Fit Solutions LLC,V00000906501
1338,CONNEY SAFETY PRODUCTS,CON8302009
1339,Connie Gray,VS0000027328
1340,Conolog Corporation,VS0000013856
1341,CONROE WOOD PRODUCTS INC,CON7107060
1342,ConServ Flag Co.,VS0000021111
1343,CONSOLIDATED ELECTRICAL DISTRIBUTERS INC,CON1261500
1344,CONSOLIDATED ELECTRICAL DISTRIBUTORS INC,CON1261500
1345,CONSOLIDATED ELECTRICAL DISTRIBUTORS INC,V00000916971
1346,CONSOLIDATED TRAFFIC CONTROLS,CON1261250
1347,CONSOLIDATED TRAFFIC CONTROLS INC,CON1261250
1348,Construction EcoServices II Inc,V00000909059
1349,CONSTRUCTION METAL PRODUCTS INC,CON7120165
1350,CONSTRUCTION RENT-A-FENCE INC,CON7015765
1351,CONSTRUCTION SAFETY & HEALTH INC,CON6054500
1352,CONSTRUCTION SAFETY PRODUCTS,CON8313513
1353,CONTEMPORARY PRODUCTS OF TX,CON7137160
1354,CONTINENTAL BATTERY CO,CON7169640
1355,CONTINENTAL FLOORING COMPANY,CON8308959
1356,Continental Research Corporation,VS0000029261
1357,CONTINENTAL SEAL & SUPPLY CO,CON7095985
1358,CONTRACTORS ASPHALT L.P.,VS0000001040
1359,CONTRACTS BY CLEMENCIA,CON8313030
1360,Contrax Holding LLC,V00000946918
1361,CONTROL CABLE INC,CON8305675
1362,CONTROL PANELS USA INC,CON8306390
1363,Control Solutions Inc.,V00000947257
1364,CONTROL TECHNOLOGIES,CON7129055
1365,CONTROL TECHNOLOGIES INC,CON7129055
1366,CONTROL TECHNOLOGIES OF CENTRAL FLORIDA INC,CON7129055
1367,Convention Expo Management Services LLC,V00000952041
1368,ConvergeOne Inc,NOR8315773
1369,CONVERGINT TECHNOLOGIES L L C,CON8321260
1370,CONVEYOR AGGREGATE PRODUCTS CORPORATION,CON8313913
1371,COOK ADVERTISING SPECIALTIES,COO1282000
1372,Cookbook LLC,V00000949699
1373,COOL DRAFT SCIENTIFIC LLC,VS0000016983
1374,COOLSTUFF,COO8304536
1375,COOPER EQUIPMENT CO INC,COO1290250
1376,COOPER INDUSTRIES CROUSE-HINDS AIRPORT LIGHTING PR,VC0000102810
1377,Copeland Tape LLC,V00000944958
1378,Copper River Information Technology LLC,V00000917937
1379,Copter Source L.L.C.,V00000947794
1380,Core & Main LP,HUG8319237
1381,Corix Water Products (US) Inc,V00000908241
1382,CORLEY GASKET COMPANY,COR8303119
1383,Coro Medical LLC,V00000950544
1384,CORPORATE EXPRESS,STE4420500
1385,CORPORATE IMPRESSIONS INC,VS0000015685
1386,CORPORATE SAFE SPECIALISTS,COR7153710
1387,CORPORATE SOURCE LTD,COR8307926
1388,CORPUS CHRISTI GASKET & FASTENER INC,COR1304500
1389,CORPUS CHRISTI STAMPWORKS,CCS8318054
1390,CORR TECH INC,COR1306000
1391,CORRPRO COMPANIES INC,COR7091020
1392,CORRUGATED CONCEPTS & PACKAGING INC,VS0000021064
1393,Corsicana Bedding Inc.,V00000902109
1394,CORSICANA BEDDING LLC,V00000935937
1395,CORT Business Services Corporation,V00000902526
1396,Cortz. Inc.,VS0000013451
1397,COSA INC,CON8318769
1398,COSA INSTRUMENT CORP,COS8301333
1399,COSTAR TECHNOLOGIES INC,V00000923801
1400,COTHRON SECURITY SOLUTIONS LLC,VC0000102148
1401,COTHRON'S SAFE & LOCK,COT1310000
1402,COTHRON'S SAFE & LOCK INC,COT1310000
1403,Cothrons Safe and Lock,VS0000017496
1404,COUFAL-PRATER EQUIPMENT LLC,VC0000102892
1405,COUFAL-PRATER EQUIPMENT LTD,VC0000102892
1406,COULTER VENTURES LLC,VC0000103155
1407,Counter Balance ATX,V00000953365
1408,Country Boyz Fixins LLC,V00000925599
1409,COUNTY LINE ON THE LAKE INC,COU1313500
1410,Covert Auto Inc,V00000913000
1411,COVERT CHEVROLET - BUICK - GMC,COV7162610
1412,COVERT CHEVROLET-OLDSMOBILE,COV7162610
1413,COVERT FORD INC,COV7009090
1414,CovertTrack Group Inc.,V00000917641
1415,COWART DOOR SYSTEMS,COW8305048
1416,Cowboy Ventures Inc.,VS0000037988
1417,COX TEXAS NEWSPAPERS LP,AUS7168370
1418,CPAT DISTRIBUTION INC,CPA8301311
1419,CPD INDUSTRIES,CPD8308706
1420,CPI FOODS INC,CPI8310766
1421,CPI INTERNATIONAL INC,CPI7113365
1422,Crafco Inc.,V00000944183
1423,CRAFCO TEXAS INC,CRA1327250
1424,Craft Bearing Company Inc.,VS0000035171
1425,CRAFTCORPS INC,CRA8312854
1426,craftmaster hardware llc,V00000937387
1427,CRAIG A. FREIBURGER,ARM0293750
1428,CRANE EQUIPMENT & SERVICE INC,GAF6121000
1429,CRAVE CATERING,CAT8304497
1430,CRAWFORD ELECTRIC SUPPLY COMPANY INC,VS0000007190
1431,CREATIVE CREATIONS CATERING,CRE8316471
1432,Creative Enterprise Solutions LLC,V00000928139
1433,CREATIVE HEALTH PRODUCTS,CRE6052000
1434,CREATIVE STONE INC,VC0000101844
1435,Creative Water Solutions LLC,V00000906263
1436,Crenshaw Services LLC,VS0000008885
1437,CRESTLINE CO INC,CRE7132475
1438,Cribs for Kids Inc.,V00000956005
1439,CRIPPEN SHEET METAL INC,CRI1366250
1440,CRISIS PREVENTION INSTITUTE INC.,VC0000101321
1441,Critical Start Inc.,V00000923701
1442,Critical Start LLC,V00000923701
1443,CRO DEVELOPMENT I LP,VS0000007120
1444,CROCKER CRANE RENTALS L P,CRO7059525
1445,Croft Trailer Supply Inc,VS0000009000
1446,CROP PRODUCTION SERVICES INC,VER8313156
1447,CROSS MATCH TECHNOLOGIES INC,CRO8319941
1448,CROSSLINK POWDER COATING OF AUSTIN LTD,CRO8316517
1449,CROWDER INDUSTRIAL RADIATOR SVC INC,CRO8300918
1450,CROWE'S NEST FARM INC,CRO7078995
1451,CROWN POINTE TECHNOLOGIES INC,CRO8311510
1452,CROWN TROPHY,CRO8306646
1453,CROWNE PLAZA AUSTIN,CRO8322800
1454,CRT AWARDS INC,CRT8319856
1455,CRUMP PLUMBING SUPPLY,CRU1382250
1456,CSC CONSULTING INC,VS0000017776
1457,CSDC Inc,V00000945854
1458,CSDC SYSTEMS INC,CSD8321210
1459,CTS CONSOLIDATED TELECOM SERVICES LLC,VS0000005426
1460,CUES INC,CUE1388500
1461,CUEVAS DISTRIBUTION INC,CUE7151235
1462,Cultural Strategies Inc.,VS0000024713
1463,CULVER CO INC,CUL1391750
1464,CUMMINS SOUTHERN PLAINS LLC,VS0000016762
1465,CUMMINS-ALLISON CORP,CUM1393250
1466,CURTIS J FELFE COMPUTERS,CUR8322660
1467,CURTIS PETRO,SNA7169310
1468,CUSTOM APPAREL L L C,CUS8310674
1469,Custom Apparel LLC.,VS0000001140
1470,Custom Branded Sportswear Inc.,VS0000026479
1471,CUSTOM CRETE,CUS7051095
1472,CUSTOM ENVELOPES INC,CUS8320239
1473,Custom Faberkin Inc,VS0000023736
1474,CUSTOM PRODUCTS CORP,CUS7050745
1475,CUSTOM SIGN CREATIONS LLC,VS0000027508
1476,CUSTOM SOUNDS,CUS7028210
1477,CUSTOM SPORTS SURFACING INC,CUS8301159
1478,CUTTER & BUCK,VS0000017032
1479,CVC INC,CVC7147690
1480,CVI Development LLC.,VS0000028230
1481,CVS SYSTEMS INC,CVS8311323
1482,CVS WHOLESALE FLAGS,CVS8311323
1483,CWF Flooring Inc.,V00000959262
1484,CWS Propane LLC,V00000920263
1485,CYBERGEAR INC,CYB8303929
1486,CYC ENTERPRISE INC,V00000922215
1487,Cycle Gear Inc,V00000958932
1488,CYCLE MART LP,V00000913232
1489,CYCLES ETC,CYC8315988
1490,Cyclone Technology LLC,V00000944491
1491,CYKL Services ATX LLC,V00000944513
1492,Cynthia Eklund,V00000957499
1493,Cynthia Gayle Wilkinson Moreno,VS0000032184
1494,Cypress Creek Volunteer Fire Department,V00000922086
1495,Cyrun,V00000910541
1496,CYTEK MEDIA SYSTEMS INC,CYT8305840
1497,D & A WIRE ROPE INC,DAW7009930
1498,D & J BLUELINE,DJB1578500
1499,D + O Company,VS0000023771
1500,D A WARDEN CO INC,DAW5053750
1501,D F SALES,DFS7122875
1502,D REYNOLDS COMPANY LP,REY8312209
1503,D&D Retail LP,VS0000030152
1504,D&J SPORTS,DJS8318341
1505,D. R. JOWELL,PER8305827
1506,DACO LIMITED PARTNERSHIP,VS0000011127
1507,DAEMMRICH PHOTOGRAPHY,BOB1415250
1508,DAGAR'S OF AUSTIN CATERERS INC,DAG1415500
1509,Daiohs USA Inc,V00000941647
1510,Dakota Bodies LLC,V00000938369
1511,DAKTRONICS INC,DAK7020685
1512,DALLAS GASKET & PACKING CO INC,DAL1422000
1513,DALLAS MIDWEST,ALF0127750
1514,Dallas Midwest LLC,VS0000012496
1515,DALLAS PUBLIC SAFETY SUPPLY INC,VS0000020719
1516,Dallas-Katec Inc.,V00000902864
1517,Damion Lynn Roberts,V00000912475
1518,DAN LUCKOW ELECTRIC INC,V00000908819
1519,Dana Safety Supply Inc,V00000950825
1520,Dane Kenney,V00000947200
1521,DANIEL A. HOSAGE JR,VC0000102782
1522,Daniel Anthony Wright,VS0000008102
1523,DANIEL J EDELMAN INC,VS0000012163
1524,DANIEL LLANES,DAN8305099
1525,Daniel P Ortega,V00000934892
1526,DANIEL STONE & LANDSCAPE,DAN7098140
1527,Danielle Seale,V00000935278
1528,Danny Wayne Odom,VS0000035755
1529,Dapa Enterprises Inc.,VS0000028920
1530,DAQ ELECTRONICS INC,DAQ6001335
1531,DAQ ELECTRONICS LLC,V00000945039
1532,Darrin Dale Allen,V00000958242
1533,Darsey Holdings Inc.,VS0000029499
1534,DAS MANUFACTURING INC,DAS7028635
1535,Data Connect Enterprise,VS0000006696
1536,DATA MANAGEMENT INC,DAT7138975
1537,Data Optics Cable Inc.,VS0000020828
1538,"DataCite - International Data Citation Initiative ",V00000955384
1539,DATACOMM CABLES INC.,VS0000026175
1540,DATA-LINK ASSOCIATES INC,DAT8311823
1541,DATASPAN INC,MED8307457
1542,Datum Equipment Company Inc.,VS0000027852
1543,Datum Filing Systems Inc.,VS0000009704
1544,Dauphin North America,VS0000011127
1545,DAVE & BUSTER'S INC,DAV8306556
1546,DAVID ARNSBERGER,VC0000102857
1547,DAVID B AVINA,REF7146900
1548,David Barry Mahler,V00000941327
1549,David Clark Company Incorporated,V00000955376
1550,DAVID E BARRIENTOS,TSU8307142
1551,DAVID FENSKE & SON,FEN1840500
1552,DAVID J ROESSLER SR,TEX8301314
1553,DAVID L JENKINS,VC0000102655
1554,David Melancon,VS0000023574
1555,David S Woods,V00000937689
1556,David W Jackson,V00000916004
1557,David W. Dillard,VS0000015381
1558,DAVIS STEEL SERVICES,DAV7049185
1559,Dawn And Hawkes LLC,V00000957351
1560,Dawna Wyn Fisher,V00000931306
1561,DAY-TIMERS INC,DAY1474750
1562,DB Choice Properties Group LTD,VS0000014699
1563,DbNetLink Limited,V00000906619
1564,DC INTERIORS,DCI8321197
1565,DC&D Technologies Inc.,V00000911738
1566,DEALERS ELECTRICAL SUPPLY,DEA1478500
1567,DEALERS TRUCK EQUIPMENT CO INC,DEA6122075
1568,Debbra L Baltierra,V00000917809
1569,DEBORA WITT JONES,AUS0504250
1570,DEBORAH L PAPST,BAN6006085
1571,Decagon Devices Inc.,V00000919499
1572,DECATUR ELECTRONIC,DEC1498250
1573,DECCAN INTERNATIONAL,DEC8314483
1574,DECKER SPORTS LLC,VS0000024820
1575,DEFELSKO CORPORATION,VC0000100837
1576,Defender Supply LLC,V00000918274
1577,DEFENSE FINANCE AND ACCOUNTING SERVICE,VS0000002728
1578,Defense Solutions Group Inc.,VS0000021882
1579,Del A. Anzaldua,VS0000025119
1580,Delaney Hall,V00000911552
1581,DELAWARE NORTH COMPANIES TRAVEL HOSPITALITY SVCS,CAO7146200
1582,DELEGARD TOOL CO OF TEXAS INC,DEL7070110
1583,DELEGARD TOOL OF TEXAS INC,DEL8303256
1584,DELI MANAGEMENT INC,JAS7017780
1585,Delib Limited,V00000935340
1586,Delilah Knuckley,V00000933807
1587,DELL COMPUTER CORP,DEL1512250
1588,DELL FINANCIAL SERVICES LLC,DEL7148920
1589,DELL MARKETING LP,DEL1512250
1590,DeLora Marie Frederickson,V00000902511
1591,Delta Foremost Chemical Corp.,VS0000038243
1592,DELTA RIGGING & TOOLS INC,IND8320280
1593,DELTA-X RESEARCH INC,V00000932311
1594,Delta-X Research USA Inc.,VS0000037699
1595,Demand Lighting USA Inc,V00000919050
1596,DEMCO INC,DEM1521750
1597,Demetrius Davis,V00000944069
1598,Denim Group Ltd.,VS0000020135
1599,DENTSERVE,DEN8303631
1600,Denver Biennial of the Americas Corporation,V00000934870
1601,DEPEW APPLIANCE & SERVICE INC,VC0000101569
1602,Derrah Morrison Enterprises LLC,V00000911015
1603,Derric Hobbs,V00000943634
1604,DESERT DIAMOND INDUSTRIES LLC,VS0000018772
1605,DESIGN FARM INC,DES8306248
1606,DESIGNS THAT COMPUTE,VS0000017680
1607,DeSpain & Associates Inc,V00000923795
1608,DESSER TIRE & RUBBER CO INC,DES8306167
1609,DETECTION & MEASUREMENT,DET8318313
1610,DETECTION INSTRUMENTS CORP,DET8317025
1611,Devar Inc,VS0000014565
1612,DEVICES INC,DEV8308327
1613,DEWALCH TECHNOLOGIES INC,DEW8306990
1614,DEWBERRY ENGINEERS INC.,DEW8304122
1615,DEZURIK INC,DEZ8323142
1616,DFI Signs of Texas LLC,VS0000031346
1617,DGR SERVICES INC.,PER8314830
1618,DIAMOND BLADE WAREHOUSE,DIA7100540
1619,Diane Butcher Fanning,VS0000006832
1620,DICK BLICK CO,DIC8316286
1621,Dick Jones Sales Inc.,V00000945369
1622,Digital Automation Concepts,VS0000004766
1623,Digital Combustion Inc.,V00000944357
1624,DIGITAL INTELLIGENCE INC,DIG8313967
1625,DIGITAL INTELLIGENCE SYSTEMS CORP.,VC0000100709
1626,DIGITAL LIGHTWAVE INC,VS0000016291
1627,DIGITAL PRINTING SYSTEMS,DIG8316669
1628,Digitalia,V00000929225
1629,DIMENSIONS MEDICAL SUPPLY GROUP,DIM7152170
1630,DINCA GROUP LLC,V00000928963
1631,Dino George LLC,V00000952981
1632,DIONEX CORP,DIO1564250
1633,DipJar Inc.,V00000950360
1634,Direct Line Corporation,V00000913209
1635,DIRECT PRODUCTS OF ALBANY LLC,VC0000101208
1636,DIRECT SALES AND SERVICE,VS0000008915
1637,Discount Light Depot,V00000915839
1638,DISCOUNT SCHOOL SUPPLY,DIS7160445
1639,DiscountRamps.Com,V00000929274
1640,DISTRIBUTOR OPERATIONS INC,INT7129830
1641,Distributor Operations Inc.,V00000954278
1642,Ditto Sales Inc,V00000936643
1643,Diversified Landscapes Inc.,VS0000013414
1644,DIVERSIFIED MECHANICAL EQUIPMENT LLC,DIV8304728
1645,Divine and Conjure Ent LLC,V00000926538
1646,Divine Imaging Inc.,V00000938717
1647,DIVINE IMPRINTS L L C,DIV8321856
1648,DIXIE TOOL CRIB INC,DIX1576750
1649,DKAMSI LLC,VS0000023428
1650,DKO Enterprises LP,VS0000028908
1651,DLC Systems Inc,VS0000022989
1652,DLH Office Furniture Group LLC,V00000931380
1653,DLT SOLUTIONS INC,DLT7146265
1654,DLT SOLUTIONS LLC,DLT7146265
1655,DMI CORP.,VS0000024721
1656,DMSI Holdings LP,V00000922746
1657,Do2 Plant Maintenance Inc.,VS0000010633
1658,Do512,VS0000030215
1659,Dobie Supply LLC,V00000922332
1660,DOBLE ENGINEERING COMPANY,DOB1584250
1661,DOGGETT EQUIPMENT SERVICES LTD,TOY8305519
1662,DOGGETT EQUIPMENT SVCS LTD,TOY8305519
1663,Dog-ON-It-Parks Inc.,V00000949227
1664,DoMore Race Services Inc,V00000930499
1665,DON A STEWART INC,DON4430000
1666,DON HEWLETT CHEVROLET-,DON8306629
1667,DONA EMILIA'S L P,DON8307783
1668,DONALD FLEMING,VC0000102601
1669,Donald Kenneth Martin,V00000955429
1670,DONGALEN ENTERPRISES,INT7076060
1671,Donna Louise Lipman,V00000903726
1672,Donna R Gillum,V00000944336
1673,DONN'S BBQ,DON7065380
1674,DOOLEY TACKABERRY INC,TAC4539500
1675,DOOR CONTROL SERVICES INC,VS0000029726
1676,DOUBLE TUFF TRUCK TARPS INC,DOU7114495
1677,DoubleMap Inc.,V00000952968
1678,DOUBLETREE HOTEL AUSTIN,DOU6028975
1679,Doug Diebel,VS0000026814
1680,DOUGLAS D SPILLMANN,HAN7118670
1681,Douglas Jay Royster,V00000912182
1682,Douglas Wayne Ellis,VS0000012804
1683,Downing Mfg. Inc.,VS0000028955
1684,DPC INDUSTRIES INC,DPC6018425
1685,Dr. Pepper Bottling Company of  Texas,VS0000010131
1686,DRACAY MANAGEMENT INC.,V00000952285
1687,DRAEGER SAFETY INC,VC0000102259
1688,Drafting Equipment Warehouse LLC,VS0000034197
1689,DRAKE INDUSTRIES INC,VC0000101745
1690,Drapes 4 Show Inc.,V00000931758
1691,DRESSER INC,DRE8305546
1692,Drew Anthony Smith,V00000933620
1693,DRIESSEN WATER 1 INC,CUL6051695
1694,DRIESSEN WATER INC,CUL6051695
1695,DRILLING SUPPLY & MFG INC,DSM7021020
1696,DRI-STICK DECAL CORP,RYD7062980
1697,Drivetrain Specialists LLC,V00000917951
1698,Druck Inc.,VS0000006555
1699,DRY PLANET LTD,VC0000103570
1700,DS Services of America Inc.,VS0000005768
1701,DS Waters of America Inc.,VS0000005768
1702,DSB ELECTRIC L L C,DSB8305564
1703,DSM INC,DSM7021020
1704,Dub Academy,V00000923311
1705,DUBOSE PIPE & GATE INC,VC0000102596
1706,Dude Solutions Inc,V00000908621
1707,Dulles Technology Partners Inc,V00000925544
1708,DUMMIES UNLIMITED INC,VC0000100560
1709,DUNBAR ARMORED INC,DUN7168375
1710,DUNBAR SECURITY PRODUCTS INC,VS0000016897
1711,DUNCAN PARKING TECHNOLOGIES INC,DUN8312602
1712,Duncanville Automotive LLC,V00000928838
1713,Duperon Corporation,V00000909350
1714,DURANS PALLET CO,DUR7119085
1715,Duraplay Inc.,VS0000005943
1716,DUSTLESS AIR FILTER COMPANY,DUS8321183
1717,DUSTLESS AIR FILTER COMPANY INC,DUS8321183
1718,DWYER INSTRUMENTS INC,DWY1649500
1719,DX ELECTRIC CO,DXE1650500
1720,DXI INDUSTRIES INC,DXI7126645
1721,DXP ENTERPRISES INC,SEP6120000
1722,DYKMAN ELECTRICAL INC,V00000949580
1723,DYNA PAK CORPORATION,DYN8320296
1724,Dynaenergetics US Inc,VS0000035522
1725,Dynamic Imaging Systems Inc.,VS0000023003
1726,DYNAMIC PUMP SYSTEMSLLC,VS0000023517
1727,DYNAMIC REPROGRAPHICS INC,DYN1653500
1728,Dynamic Vision Co. Inc.,VS0000034537
1729,DYNAMITE BRANDS,BAG8314768
1730,E A H AUSTIN INC,EAH1657000
1731,E H WACHS CO,EHW5020500
1732,E J BROOKS CO,EJB8310710
1733,E V SMITH SALES CO INC,EVS6040105
1734,E.I.T. CORPORATION,VS0000019045
1735,E.R.C. INC,VS0000033190
1736,EA Technology LLC,V00000948880
1737,Eagle Energy Inc,V00000905953
1738,EAGLE GASKET & PACKING CO,EAG8317935
1739,Eagle Group LLC,V00000937987
1740,EAGLE HYDRO BLAST,EAG8320377
1741,EAGLE ONE GOLF PRODUCTS INC,VS0000018055
1742,EAGLE POINT CORPORATION,EAG7002475
1743,EAGLE POINT SOFTWARE,EAG7002475
1744,EAGLE POINT SOFTWARE CORPORATION,EAG7002475
1745,Eagle Pride Supply LLC,V00000924432
1746,Earle Kinlaw Asso. Inc.,V00000912218
1747,EARTHSPIRITSNET INC,VS0000001450
1748,EAST JORDAN IRON WORKS INC,EAS1664725
1749,EAST SIDE FABRICATION LLC,VS0000035174
1750,East Texas Lift Truck Inc.,V00000916395
1751,EASTECH FLOW CONTROL INC,EAS8301929
1752,EASTECH FLOW CONTROLS INC,EAS8301929
1753,EASTMAN KODAK CO,EAS1663500
1754,EASY DRIVE STAKE INC,EAS7169470
1755,EasyLobby Inc.,VS0000024771
1756,EATON CORPORATION,VC0000102398
1757,EBERLE DESIGN INC,EBE7094030
1758,EBSCO INDUSTRIES INC,EBS1672000
1759,EBSCO INFORMATION SVCS,EBS1672000
1760,Eccentric Pumps LLC,VS0000002979
1761,ECF INVESTMENTS - 1 LTD,VS0000017704
1762,Ecin Industries Inc.,V00000945506
1763,eClinicalWorks LLC,V00000928296
1764,Eco Marketing Solutions LLC,VS0000017917
1765,Eco Promotional Products Inc.,V00000928612
1766,ECO-COUNTER INC,VC0000102980
1767,Ecografx Inc,V00000913098
1768,ECOLAB INC,ECO1676500
1769,ECOLOGY ACTION OF TEXAS,ECO1676750
1770,ECONO AUTO PAINTING,ECO7090350
1771,ECONOMY SUPPLY CO,ECO7152585
1772,ECS-ELECTRICAL & CONSTRUCTION,ECS8313745
1773,EDDY W. PABON,HYD6035840
1774,Education Specialty Publishing LLC,VS0000031440
1775,EDUCATIONAL PRODUCTS INC,VS0000016824
1776,EDUCATORS DEPOT INC.,VS0000010933
1777,Edward Jason Peine,V00000902420
1778,Edward L Lallo,VS0000013041
1779,Edwin Emil Twedt,V00000924223
1780,EDWIN LEDNICKY,FIR8316077
1781,EEI ACQUISITION CORPORATION,VC0000102967
1782,Efficient Air Conditioning Inc,VS0000025794
1783,EGAUGE SYSTEMS LLC,V00000943444
1784,EGW Utilities Inc,V00000938662
1785,EHI COMPANY,EHI8306158
1786,EIMCO WATER TECHNOLOGIES,EIM8314121
1787,EKF DIAGNOSTICS INC,V00000932498
1788,EKSTROM INDUSTRIES INC,EKS1697250
1789,EL SOL Y LA LUNA,ELS7059780
1790,Elaine Eidelberg,V00000906809
1791,Eldridge Engineering Inc.,VS0000037202
1792,ELDRIDGE JODIE,JOD7150800
1793,ELECTRA LINK INC,ELE7056490
1794,ElectRep Inc.,V00000920593
1795,ELECTRIC EEL MANUFACTURING CO INC,ELE1702750
1796,ELECTRICAL & CONSTRUCTION PRODUCTS INC,ELE8305602
1797,ELECTRO SWITCH CORPORATION,VS0000026444
1798,ELECTRONIC IMAGING MATERIALS INC,VC0000102219
1799,ELECTRONIC TECHNOLOGIES CORP USA,ELE7170295
1800,ELECTRO-STEAM GENERATOR CORP,ELE8312798
1801,ELECTROTECHNICS CORPORATION,ELE8309737
1802,ELEMENT K CORPORATION,VC0000101603
1803,Elite Arms Inc.,V00000937932
1804,ELITE CREATORS LLC,VS0000003307
1805,Elizabeth A Glerman,PAR7131705
1806,Elizabeth Garton Scanlon,VS0000021899
1807,Elizabeth Lehman,V00000919039
1808,Elizabeth Michelle Faires,V00000952623
1809,ELIZABETH POPPEN,VS0000021823
1810,ELIZABETH W KAHURA,AFR8308244
1811,ELIZABETH W. KAHURA,AFR8308244
1812,Elizabeth Williams,V00000951536
1813,ELK ELECTRIC INC,ELK1712500
1814,ELKHART BRASS MANUFACTURING,ELK6045065
1815,ELLIOTT ELECTRIC SUPPLY,ELL7113370
1816,Elliott Electric Supply Inc,V00000907073
1817,ELLIOTT INDUSTRIES INC,ELL8316708
1818,Ellman International Inc.,VS0000019345
1819,ELMBROOK CORPORATE SERVICES INC,ELM8301313
1820,ELMRIDGE Inc.,VS0000032487
1821,Elsevier BV,V00000949355
1822,ELXSI INC,CUE1388500
1823,EMA INC,EMA8313962
1824,EMBLEMS INC,EMB8321597
1825,EMC CORP,EMC1726500
1826,EMCERT INC,EMC8312354
1827,EMCERT.COM,EMC8312354
1828,EMERGENCY LITE SERVICE CTR INC,VS0000016813
1829,EMERGENCY MEDICAL PRODUCTS INC,EME6121595
1830,EMERGENCY PARTS PLUS COMPANY LLC,VS0000010338
1831,EMERGENCY VEHICLE SUPPLY LLC,VC0000101413
1832,EMERSON NETWORK POWER LIEBERT SERVICES INC,LIE8303559
1833,Emilia Lejarazu,V00000949737
1834,EMILY'S CATERING,EMI8314087
1835,EMILY'S CATERING LLC,VS0000012775
1836,EMMIS AUSTIN RADIO BROADCASTING COMPANY L P,LBJ6121890
1837,EMP Industries Inc.,VS0000000407
1838,Empire Roofing Companies Inc,VS0000024900
1839,EMPLOYEE OWNED NURSERY ENTERPRISES LTD,EMP8321200
1840,EMS Safety Services Inc.,V00000910614
1841,EMS Solutions Inc.,V00000903839
1842,EMSystems LLC,V00000900996
1843,ENCOTECH ENGINEERING CONSULTANTS INC,ENC1735650
1844,Endeavor Concepts LLC,VS0000035866
1845,Ending Community Homelessness Coalition Inc.,VS0000038011
1846,ENDRESS & HAUSER INC,END1736500
1847,ENERGY XTREME LLC,VC0000102818
1848,Enertech Resources LLC,V00000915273
1849,ENFORCEMENT TECHNOLOGY INC,ENF7013060
1850,ENGHOUSE INTERACTIVE INC,VC0000102300
1851,ENGINEERED ENDEAVORS INC,VC0000102242
1852,Enlightened-Leaders LLC,VS0000024463
1853,ENNIS PAINT INC,ENN7077715
1854,ENNIS-FLINT INC.,ENN7077715
1855,ENOSERV LLC,VS0000018838
1856,ENTECH POWER SYSTEMS INC,ENT7135260
1857,ENTECH SALES & SERVICE INC,ENT7054645
1858,ENTECH SALES & SERVICE LLC,ENT7054645
1859,ENTENMANN-ROVIN CO,ENT1753000
1860,Enviornmental Propane Conversions LLC,VS0000000281
1861,ENVIROMEDIA SOCIAL MARKETING,VC0000101574
1862,ENVIRONMENTAL ALLIES GP INC,ENV8309700
1863,ENVIRONMENTAL EXPRESS INC,ENV7131695
1864,ENVIRONMENTAL IMPROVEMENTS INC,ENV1755500
1865,ENVIRONMENTAL RESOURCE ASSOC,ENV1756500
1866,ENVIRONMENTAL SURVEY INC,ENV7167715
1867,ENVIRONMENTAL SYSTEMS PRODUCTS,ENV8317496
1868,ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE INC.,ENV1757000
1869,ENVIRONMENTAL TREATMENT TECHNOLOGIES INC,ENV8317674
1870,ENVIRONMENTAL TREE & DESIGN,ENV8303772
1871,EnvironX Solutions Inc.,V00000913004
1872,ENVIRO-PUMP OF SAN ANTONIO LLC,VC0000102367
1873,ENVIROTECH PUMPSYSTEMS INC,VS0000004373
1874,Enviro-Tote Inc.,VS0000023133
1875,EnvisionWare Inc.,V00000924101
1876,EPLUS TECHNOLOGY INC,VS0000021787
1877,EPS LOGIX INC.,V00000921838
1878,Equerry Corp,V00000945095
1879,EQUIPMENT DEPOT,EQU8314375
1880,EQUIPMENT DEPOT LTD,EQU8314375
1881,Equipment Management Services LLC,V00000909492
1882,EQUIPMENT SOUTHWEST INC,EQU7092465
1883,EQUIPMENT TECHNOLOGY INC,EQU7123910
1884,ERDAS INC,ERD7079940
1885,Ergodirect Inc,V00000925281
1886,ErgoFlex Systems Inc.,XYB8305853
1887,ERGOGENESIS WORKPLACE SOLUTIONS LLC,V00000930508
1888,ERGON ASPHALT & EMULSIONS INC,ERG8309949
1889,Eric Ramirez,VS0000020144
1890,Erick Bohorquez,V00000952605
1891,Erika Zettl,VS0000006517
1892,ERNEST B HERRERA,ATL0342750
1893,Ernie's Welding Shop Inc.,V00000918926
1894,Erosion and Environmental Solutions LLC,V00000906182
1895,ESC Engineering Inc.,V00000909234
1896,ESCAL INSTITUTE OF ADVANCED TECHNOLOGIES INC,VS0000001275
1897,ESI ACQUISITION INC,ESI8311993
