GP_ID,GP_CD,GP_NM
836,7EMP,Employment Services
837,7ESS,East Side Story
838,7FMS,Financial Management Services
839,7FRA,Franchise Administration
840,7GMN,General Maintenance
841,7GTN,COA Networks
842,7GTN,Network and System Engineering
843,7HML,Homeless Services
844,7HVA,Heating Ventilation and Air Conditioning
845,7INF,Infrastructure
846,7JCA,Youth Case Management
847,7JCA,Youth Services
848,7MAN,Maintenance
849,7MNS,General Maintenance Support
850,7MTC,Materials Control
851,7MVD,Outreach
852,7PAE,Program Administration and Evaluation
853,7PAE,Program Management
854,7PAE,Small Business Program
855,7PHY,Physical Security
856,7PLC,Watershed Policy
857,7PMA,Outreach Programs and Services
858,7PMA,Parks Program Services
859,7PPM,Preventive Maintenance
860,7PRA,Nuisance Abatement
861,7PRA,Property Abatement
862,7RCA,Community Recreation Services
863,7RCA,Recreation and Program Services
864,7RCA,Recreation Centers
865,7RCA,Recreation Services
866,7RTP,Recruitment and Placements
867,7SAF,Safety
868,7SBC,Business Solutions Center
869,7SCH,Scheduled Maintenance
870,7SCT,Facilities Security and Mail Services
871,7SEC,Infrastructure Security
872,7SEC,Network Security
873,7SEC,Security
874,7SEC,Security Services
875,7SPA,Summer Programs
876,7SSA,Senior Services
877,7SSS,Self-Sufficiency Services
878,7TAS,Technology and Strategy
879,7TEC,Court Technology
880,7TED,Program Services
881,7TED,Small Business Assistance Services
882,7TED,Training and Business Services
883,7TMG,Airport Property Management
884,7URT,Urban Trails
885,7VAV,Violence and Victimization Services
886,7VMR,Fleet Maintenance and Repair
887,7WRK,Workforce Development Services
888,7ZNG,Zoning Code Compliance
889,8002,Comprehensive Plan
890,8002,Searight Pld - Zone 10
891,8003,Krieg Field Improvements
892,8006,SP-2007-0710C-Z10 Colorado Rvr Prk Disc Golf
893,8007,Armadillo Park Pld - Z10
894,8008,Dove Springs Park Pld -Z10
895,8009,Battlebend Pld- Z10
896,803,Morris Wms Imprs
897,8030,Shoal Creek Trail Improvements
898,8045,Old San Antonio Road Land Acquisition
899,8045,Self Contained Breathing Air System
900,8059,Flowmeters
901,8071,Traffic Calming Equipment purchase
902,8086,Vehicles & Equipment (FY11)
903,8092,Vehicles and Equipment - PWD (FY14)
904,8093,Vehicles and Equipment - ATD (FY14)
905,8105,SCADA
906,8106,PW Office Furniture
907,8112,CLMD Office Furniture - 105 Riverside
908,8112,Pkg WWTP Rehab
909,8113,105 Riverside Relocation
910,8115,OTC 7th Flr Renovation
911,8117,Cheathem Building Folding Doors
912,8118,Scofield Park- Z1
913,8123,Balcones- Z1
914,8128,105 Riverside Renovations
915,8134,Otc 8th Floor Renovations
916,8187,SAR Security Ph II
917,8194,Walnut Crk Infulent Flow Imp&Eqmt Repl/Rehab
918,81A1,Internal Affairs
919,81A2,Accreditation/Inspections
920,81A3,Risk Management
921,81A3,Risk Prevention
922,8201,Pedestrian/ADA/Bikeways
923,8210,Shepherd Mtn Lift Station Reli
924,8217,Ls Telemetry System Improvemnt
925,823,Jimmy Clay Greens Renovation
926,8235,Walnut Creek WWTP Tertiary Filter Rehabilitation
927,8246,Lost Creek Pkg Plant Rehab
928,8250,Pickfair Decommissioning
929,8318,Reilly School Park - Playground
930,839,PARD CO Shipe Pool
931,8408,Mayfield-PLD Zone 4
932,8410,Misc WW Rehabilitation projects
933,8416,Mt. Bonnell at Covert Park
934,8470,SAR Chlorine Release Recovery Project
935,8486,Odor Control Assessment and Construction
936,8511,Wooldridge Square - PLD Zone 5
937,8513,Sparky Park Building Repurpose
938,8609,Bartholomew Park- Z6
939,8689,Security System Improvs-GBSC
940,8740,Kealing Playground Improvements
941,8801,Dick Nichols Park - Z8
942,8815,Searight Park Pld - Z8
943,8816,Zilker Park Disc Golf Improvements
944,8842,Circle C Disc Golf Course Renovation
945,8850,Service To Annexed Areas
946,8863,Zilker Botanical Garden - ADA Imp to Rose Garden
947,8870,Grey Rock Park Enhancements
948,8892,Zilker Preserve-Rollingwood Trail Connection
949,88AB,Zilker Botanical Gardens Stream Enhancement
950,89,PEC Office Reconfig
951,8918,Esc Security Improvements
952,8927,Wcc Security Improvements
953,8928,Wsc Security Improvements
954,8929,Security System Improvs-ESC
955,8932,Ponciana Neighborhood Park Development
956,8934,Security System Improvs-NSC
957,8942,South Austin Senior Activity Center
958,8949,Battle Bend Playground Enhancement
959,8949,Security System Improvs-Summitlab
960,8ADA,Americans with Disabilities Act (ADA)
961,8AUC,Auction
962,8CMP,Equal Employment Opportunity / Fair Housing
963,8CMS,Community Services
964,8FSM,Facility and System Management
965,8FUL,Fuel Management
966,8MKR,Make Ready
967,8MKR,Vehicle Life Cycle Management
968,8NPR,Neighborhood Partnering Program
969,8NPT,Community Services
970,8PGR,Fleet Programs
971,8RNT,Rental Pool
972,8VRC,Vital Records
973,9002,Bacteria Source Tracking
974,9002,Otc Technology Improvements
975,9003,Contracts and project management system
976,9003,Lady Bird Lake Invasive Riparian Management
977,9004,Lower Shoal Creek District Retrofit
978,9005,Misc Technology Improvements
979,9006,1a Riparian Restoration
980,9007,3a Riparian Restoration
981,9009,COA Microstrategy Contract - PWD
982,9009,Urban Creek Invasive Plant Control
983,9010,Recharge Feature
984,9011,CMD Tech Improvements
985,9011,Flow Meters
986,9012,REO Tech Improvements
987,9012,Riparian Zone Methods Development
988,9013,Monitoring Equipment Evaluation
989,9013,PW Tech Improvements - CPMF
990,9014,Sbo Maximo Mobile
991,9015,Agile Asset Implementation
992,9016,BOG 3B Riparian Restoration
993,9018,WMS 2B Riparian Restoration
994,9019,Citywide Riparian Restoration Projects
995,9022,SH 45 Environmental Study
996,9031,Bulkhead Demonstration Project
997,9042,Asset Management Software
998,9043,Asset Management System
999,9044,Success Factors Implementation
1000,9052,Traffic Signal Detection
1001,9056,Westgate/Cameron Lp-Cohoba Dr
1002,9109,Plst Valley Rd-Wetpnd/Wetland
1003,9110,Bull Crk - Trib 6 Impvs
1004,9112,Bull Creek District Park Restoration Project
1005,9115,Waller Creek Ctr-Security Imps
1006,9126,WCC Carpet Replacement
1007,9140,Mobile Workforce
1008,92,PEC City Network Upgrades
1009,9213,Traffic Signalization (Bga)
1010,9315,Traffic Signal Detection - FY2016
1011,9316,FY2017 Arterial Management
1012,9400,Traffic Signals-Upgrade
1013,9410,Regional Safety & Mobility Improvements
1014,96,ATD-LCRA BLDG MOVE
1015,9ADM,Administration & Management
1016,9ADM,Departmental Support Services
1017,9ADM,Strategic Operations
1018,9BUD,Financial Monitoring / Budgeting
1019,9CPU,Information Technology Support
1020,9DBT,Debt Interest and Commission
1021,9FAC,Facility Expenses
1022,9MGT,Support Services
1023,9PUR,Purchasing / MBE/WBE
1024,9REQ,Other Requirements
1025,9SVC,PIO / Community Services
1026,9SVC,PIO/Community Services
1027,9TEC,Technology Surcharge
1028,9TRN,Personnel / Training
1029,9VEH,Vehicle / Equipment Maintenance
1030,9VEH,Vehicle and Equipment Support
1031,A002,Corridor Mobility Impvments
1032,A002,Library Facility Improvements
1033,A002,Public Safety Improvements
1034,A002,Urban Trail and Sidewalks
1035,A050,Cemetery Renovations
1036,A075,Facility Renovations and Improvements
1037,A200,Park Improvements
1038,A217,Building 6005 Improvements Phase 2
1039,A250,Arterial Congestion and Crash Risk Mitigation
1040,A250,Public Works Facilities - 2012 Bonds
1041,A503,Connectivity Pedestrian Path - Segment 2
1042,A600,Neighborhood Partnering
1043,A700,ATD Citywide Bikeways
1044,B100,PSTC AHU/RTU replacements
1045,C288,Terminal - Apron Expansion and Improvements Projec
1046,C500,Infrastructure Parent PC/2018
1047,CSBM,Customer Svcs Billing & Metering
1048,D600,Parking Garage West Lot A - Construction
1049,DIST,Distribution
1050,DSUB,Distribution Substation
1051,E100,EMS Facilities for 8607
1052,ECOL,Collection Engineering
1053,ECOL,Collection System Engineering
1054,EFAC,Distribution Engineering
1055,EFAC,Distribution System Engineering
1056,EFEN,Facility Engineering
1057,EPIP,Pipeline Engineering
1058,EREC,Infrastructure Records
1059,FPPP,Fayette Capital Additions-
1060,FT01,Fleet Technology Improvements
1061,L079,Highland Neighborhood Park And Reznicek Fields - P
1062,L280,Urban Trail Connection - 2016 Mobility Bond
1063,NCON,Water Conservation
1064,NLAM,Wildland Conservation
1065,NPIN,Public Affairs
1066,NPIN,Public Involvement
1067,NREG,Environmental and Regulatory Services
1068,NREG,Regulatory Support
1069,OEXP,Other Utility Program Requirements
1070,P100,Police Facilities for 8607
1071,PAMN,Asset Management & Business Services
1072,PCSC,Collection System Construction Services
1073,PCSC,Collection System Maintenance
1074,PCSS,Collection System Services
1075,PFOP,Distribution System Maintenance
1076,PFOP,Field Operations
1077,PIRH,Construction and Rehabilitation Services
1078,PIRH,Investigation and Rehabilitation
1079,PMSV,Management Services
1080,POMS,Pipeline O and M Support
1081,PSSS,Special Services
1082,PVHS,Valve & Hydrant Services
1083,PVHS,Valve and Hydrant Services
1084,PWMO,Water Meter Operations
1085,PWTR,Pipeline Water Operations
1086,PWWO,Pipeline Wastewater Operations
1087,QE13,Barton Hills Cycletrack Barton Sky to Robert E Lee
1088,QH08,Adaptive Signal Control Implementation
1089,RWSS,Reclaimed Water Services Support
1090,STP2,STPMM - DATA DEVELOPMENT & MAINT
1091,SUPP,Support Services
1092,TLAB,Laboratory Services
1093,TLIF,Lift Stations & Remote Facilities
1094,TLIF,Lift Stations and Remote Facilities
1095,TMNT,Maintenance Services
1096,TPEN,Process Engineering
1097,TPEN,Process Engineering and Labs
1098,TPF1,PLAN - ADMINSTRATION
1099,TPSR,Pump Station & Reservoir Maintenance
1100,TPSR,Pump Station and Reservoir Maintenance
1101,TRAN,Transmission
1102,TSUB,Transmission Substation
1103,TSUP,Treatment O&M Support
1104,TSUP,Treatment Support
1105,TWTR,Treatment Water Operations
1106,TWTR,Water Operations
1107,TWTR,Water Treatment
1108,TWWT,Treatment Wastewater Operations
1109,TWWT,Wastewater Operations
1110,TWWT,Wastewater Treatment
1111,V003,PW FY 16 Vehicles And Equipment
1112,V004,PW FY 17 Vehicles And Equipment
1113,V007,Vehicles & Equipment - CPMF Funded
1114,V020,FY18 VA-GF-PARD
1115,WINF,Infrastructure Management
1116,WSRB,Strategic and Business Improvement Services
1117,WSRB,Strategic Resources and Business Improvement Servi
1118,WSYP,Systems Planning
1119,WUDS,Utility Development Services
1120,ZZZZ,Miscellaneous
